id	favorites	replies	retweets	hashtags
1	0	0	NA	Lastenräder;UniGreifswald
2	9	0	8	NA
3	6	0	NA	citizenscience;Naturpark
4	5	0	NA	Nachhaltigkeit;Thema;Ideen
5	3	1	1	NA
6	64	0	1	NA
7	3	0	NA	Ökologie;Projekt
8	30	0	6	unigreifswald;wissenlocktmich
9	29	0	3	NA
10	7	0	NA	NA
11	8	0	1	Weltumwelttag;Zoologen
12	1	0	NA	unigreifswald;stadtradeln;greifswald
13	12	0	NA	Nachhaltigkeit
14	6	0	1	Expedition;Südpolarmeer
15	8	0	1	CHEHochschulranking;Psychologie;UniGreifswald
16	11	0	1	NA
17	5	3	NA	Digitalisierung
18	5	1	NA	NA
19	12	0	2	Publikation;Fachzeitschrift
20	16	0	2	unigreifswald
21	11	0	NA	NA
22	7	0	1	NA
23	12	0	1	unigreifswald
24	0	0	NA	NA
25	4	0	1	NA
26	2	0	4	NA
27	2	0	1	IFZO;unigreifswald
28	1	0	NA	NA
29	23	0	2	unigreifswald
30	6	1	2	NA
31	15	0	NA	NA
32	5	0	NA	niederdeutsch
33	45	3	10	NA
34	6	1	4	unigreifswald
35	6	0	3	unigreifswald
36	4	2	NA	NA
37	4	0	NA	NA
38	9	0	3	wissenlocktmich
39	2	1	NA	NA
40	9	0	3	NA
41	20	1	6	Moor;Klimaschutz;Paludikultur
42	6	0	NA	NA
43	9	0	2	NA
44	8	0	1	unigreifswald;wissenlocktmich;campus1456
45	3	0	NA	unigreifswald
46	3	0	NA	unigreifswald
47	6	0	NA	NA
48	0	0	3	unigreifswald
49	4	0	NA	NA
50	6	0	NA	Demenzforschung
